Time	Price	Vol(k)	W
19-01-2026 11:20:18	1.8500	0.3	b
19-01-2026 11:19:39	1.8500	0.1	b
19-01-2026 11:18:29	1.8500	0.5	s
19-01-2026 11:18:00	1.8500	0.9	s
19-01-2026 11:17:41	1.8500	12.7	b
19-01-2026 11:17:34	1.8600	0.1	s
19-01-2026 11:17:17	1.8600	0.1	s
19-01-2026 11:16:59	1.8600	0.1	s
19-01-2026 11:16:40	1.8600	0.1	s
19-01-2026 11:16:23	1.8600	0.1	s
19-01-2026 11:16:05	1.8600	0.1	s
19-01-2026 11:15:46	1.8600	0.1	s
19-01-2026 11:15:28	1.8600	0.1	s
19-01-2026 11:15:11	1.8600	0.1	s
19-01-2026 11:14:41	1.8600	0.1	s
19-01-2026 11:14:18	1.8600	0.1	s
19-01-2026 11:13:58	1.8600	0.1	s
19-01-2026 11:13:26	1.8600	0.1	s
19-01-2026 11:13:03	1.8600	0.1	s
19-01-2026 11:12:43	1.8600	0.1	s
19-01-2026 11:12:15	1.8500	0.1	b
19-01-2026 11:12:09	1.8500	0.1	b
19-01-2026 11:12:06	1.8500	0.3	b
19-01-2026 11:11:11	1.8500	11.1	s
19-01-2026 11:11:00	1.8500	1.3	s
19-01-2026 11:10:32	1.8500	0.1	s
19-01-2026 11:10:13	1.8500	0.5	s
19-01-2026 11:10:06	1.8500	1.4	b
19-01-2026 11:10:01	1.8600	0.2	s
19-01-2026 11:04:39	1.8500	11.3	s
19-01-2026 11:04:26	1.8500	20	s
19-01-2026 11:02:34	1.8500	0.5	s
19-01-2026 11:02:17	1.8500	4	s
19-01-2026 11:00:17	1.8500	0.3	s
19-01-2026 10:59:44	1.8400	0.1	b
19-01-2026 10:58:39	1.8400	0.1	b
19-01-2026 10:56:14	1.8400	0.1	b
19-01-2026 10:52:56	1.8400	1.2	b
19-01-2026 10:52:03	1.8400	0.1	b
19-01-2026 10:51:17	1.8400	6	b
19-01-2026 10:50:58	1.8400	0.1	b
